"","CELEX_number","casenumber","date_case","date_judgment","judge_rapporteur","JR_Country","judges","advocate_general","chamber","chamber_size","JR_Net_Observations","appointing_party_id","appointing_pm","current_pm","turnover","pm_turnover","eu_ideology","left_right","current_eu_ideology","current_left_right","diff_eu","diff_left_right","legalissue","year","infringement","annulment","failure_to_act","preliminary_reference","staff","CommIsDef","CommIsPl","GermanyPl","FrancePl","ItalyPl","BelgiumPl","LuxembourgPl","NetherlandsPl","United KingdomPl","IrelandPl","DenmarkPl","SpainPl","PortugalPl","GreecePl","AustriaPl","SwedenPl","FinlandPl","GermanyDef","FranceDef","ItalyDef","BelgiumDef","LuxembourgDef","NetherlandsDef","United KingdomDef","IrelandDef","DenmarkDef","SpainDef","PortugalDef","GreeceDef","AustriaDef","SwedenDef","FinlandDef","CommObsPl","CommObsDef","CJEU_Agree_Pl","govislit","netobs","AGforPl"
"11","61959CJ0015","15/59",1959-03-27,1960-02-12,"Catalano","Italy","Catalano, Delvaux, Donner, Hammes, Riese","Lagrange","No Chamber",5,0,1633,"Segni","Segni",0,0,8.9667,5.6611,8.9667,5.6611,0,0,"Should the Court annul the decision of the High Authority notified to the applicant by letter of 24 Feb 1959 on the grounds that it is based on the provisions of Dec 2/57 which are void?",1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12","61959CJ0016","16/59",1959-03-25,1960-02-12,"Delvaux","Belgium","Catalano, Delvaux, Donner, Riese, Rossi","Lagrange","No Chamber",5,0,167,"Van Acker","Eyskens G",1,1,8.1,2.5,8.3,6.2,0.200000000000001,3.7,"Should the Court annul the cited provisions of Dec 17/59 of 2/18/1959?",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","61959CJ0020","20/59",1959-04-04,1960-07-15,"Hammes","Luxembourg","Delvaux, Donner, Hammes, Riese, Rossi","Roemer","No Chamber",5,0,1234,"Bech","Werner",0,1,NA,6.4474,NA,6.4474,NA,0,"Should High Authority Decision No 18/59 of 2/18/1959 be annulled?",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"14","61959CJ0025","25/59",1959-04-02,1960-07-15,"Hammes","Luxembourg","Delvaux, Donner, Hammes, Riese, Rossi","Roemer","No Chamber",5,0,1234,"Bech","Werner",0,1,NA,6.4474,NA,6.4474,NA,0,"Should HA Decision No 18/59 of 18 Feb 1959 be annulled?",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"15","61959CJ0027","27/59",1959-05-08,1960-07-15,"Hammes","Luxembourg","Donner, Hammes, Rossi","Roemer","Second Chamber",3,0,1234,"Bech","Werner",0,1,NA,6.4474,NA,6.4474,NA,0,"Should the applicant be granted payment of a resettlement allowance?",1960,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","61959CJ0027","27/59",1959-05-08,1960-07-15,"Hammes","Luxembourg","Donner, Hammes, Rossi","Roemer","Second Chamber",3,0,1234,"Bech","Werner",0,1,NA,6.4474,NA,6.4474,NA,0,"Should the date on which the applicants resignation took effect be altered?",1960,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","61959CJ0027","27/59",1959-05-08,1960-07-15,"Hammes","Luxembourg","Donner, Hammes, Rossi","Roemer","Second Chamber",3,0,1234,"Bech","Werner",0,1,NA,6.4474,NA,6.4474,NA,0,"Should the applicant be reimbursed for traveling expenses?",1960,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","61959CJ0027","27/59",1959-05-08,1960-07-15,"Hammes","Luxembourg","Donner, Hammes, Rossi","Roemer","Second Chamber",3,0,1234,"Bech","Werner",0,1,NA,6.4474,NA,6.4474,NA,0,"Should the applicant be granted a severance grant in accordance with Art 62Â© of the Staff Regulations?",1960,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","61959CJ0027","27/59",1959-05-08,1960-07-15,"Hammes","Luxembourg","Donner, Hammes, Rossi","Roemer","Second Chamber",3,0,1234,"Bech","Werner",0,1,NA,6.4474,NA,6.4474,NA,0,"Should the HA be ordered to pay the applicant the amount standing to his credit in the Provident Fun of the staff of the ECSC?",1960,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"20","61959CJ0027","27/59",1959-05-08,1960-07-15,"Hammes","Luxembourg","Donner, Hammes, Rossi","Roemer","Second Chamber",3,0,1234,"Bech","Werner",0,1,NA,6.4474,NA,6.4474,NA,0,"Should the HA be ordered to pay the applicant the sums deducted form his remuneration in respect of his pension contributions?",1960,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"21","61959CJ0027","27/59",1959-05-08,1960-07-15,"Hammes","Luxembourg","Donner, Hammes, Rossi","Roemer","Second Chamber",3,0,1234,"Bech","Werner",0,1,NA,6.4474,NA,6.4474,NA,0,"Should the applicant be paid additional interest on the funds granted to him?",1960,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","61959CJ0030","30/59",1959-06-05,1961-02-23,"Rueff","France","Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff","Lagrange","Grand Chamber",7,0,401,"Mendes-France","Debré",1,1,7.9361,3.9896,7.9,8.2,0.0360999999999994,4.2104,"Should the HA decision of rejection sent out in the letter from the HA to the applicant dated 30 Aprile 1959 be annulled?",1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1
"23","61959CJ0030","30/59",1959-06-05,1961-02-23,"Rueff","France","Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff","Lagrange","Grand Chamber",7,0,401,"Mendes-France","Debré",1,1,7.9361,3.9896,7.9,8.2,0.0360999999999994,4.2104,"Should the HA be ordered to record by decision that the FRG hwas failed to fulfil its obligation under the Treaty?",1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
"24","61959CJ0031","31/59",1959-06-08,1960-04-14,"Hammes","Luxembourg","Catalano, Delvaux, Donner, Hammes, Riese","Roemer","No Chamber",5,0,1234,"Bech","Werner",0,1,NA,6.4474,NA,6.4474,NA,0,"Should the Court annul the decision of the High Authority date 15 April 1959 concerning an inspection of the plaintiff?",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25","61959CJ0033","33/59",1959-07-03,1962-12-14,"Riese","Germany","Delvaux, Donner, Hammes, Riese, Rossi","Lagrange","No Chamber",5,0,1727,"Adenauer","Adenauer",0,0,8.5024,6.2503,8.5024,6.2503,0,0,"Should the Community pay reparation to the applicant for an injury caused by its wrongful act or omission?",1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"26","61959CJ0034","34/59",1959-07-15,1960-04-04,"Donner","Netherlands","Donner, Hammes, Rossi","Roemer","Second Chamber",3,0,742,"Drees","De Quay",1,1,7.9904,3.6118,7.7157,5.9473,0.2747,2.3355,"Should the decision of the president of the High Authority proposing the application to the applicant of the provisions of the Staff Regs of Officials of the Community as an established official in Grade 9 be annulled?",1960,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","61959CJ0036","36/59",1959-07-25,1960-07-15,"Delvaux","Belgium","Catalano, Delvaux, Donner, Riese, Rossi","Lagrange","No Chamber",5,0,167,"Van Acker","Eyskens G",1,1,8.1,2.5,8.3,6.2,0.200000000000001,3.7,"Are Applications Nos 36/59, 37/59 and 38/59 admissible?",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"28","61959CJ0036","36/59",1959-07-25,1960-07-15,"Delvaux","Belgium","Catalano, Delvaux, Donner, Riese, Rossi","Lagrange","No Chamber",5,0,167,"Van Acker","Eyskens G",1,1,8.1,2.5,8.3,6.2,0.200000000000001,3.7,"Should Art 6(1) and (2) of HA Decision No 36/59 of 17 June 1959 be annulled?",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"29","61959CJ0041","41/59",1959-09-01,1960-12-16,"Donner","Netherlands","Catalano, Delvaux, Donner, Hammes, Riese","Roemer","No Chamber",5,0,742,"Drees","De Quay",1,1,7.9904,3.6118,7.7157,5.9473,0.2747,2.3355,"Should the Court annul the HA's implied decision contained in the letter of 6 August 1959?",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","61959CJ0041","41/59",1959-09-01,1960-12-16,"Donner","Netherlands","Catalano, Delvaux, Donner, Hammes, Riese","Roemer","No Chamber",5,0,742,"Drees","De Quay",1,1,7.9904,3.6118,7.7157,5.9473,0.2747,2.3355,"Should the Court annul the decision of the HA contained in the letter to the applicant of 24 July 1959?",1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","61959CJ0042","42/59",1959-09-07,1961-03-22,"Riese","Germany","Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff","Lagrange","Grand Chamber",7,0,1727,"Adenauer","Adenauer",0,0,8.5024,6.2503,8.5024,6.2503,0,0,"Should the letter from the Market Division of the HA of 08/07/1959 be annulled [the claim in case 42/59]?",1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","61959CJ0042","42/59",1959-09-07,1961-03-22,"Riese","Germany","Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff","Lagrange","Grand Chamber",7,0,1727,"Adenauer","Adenauer",0,0,8.5024,6.2503,8.5024,6.2503,0,0,"Should the implied decision of the HA refusing to withdraw with retroactive effect the exemptions granted to the interveners, etc. be annulled [claim in the joined case]?",1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"33","61959CJ0043","43/59",1959-09-24,1960-07-15,"Rossi","Italy","Delvaux, Donner, Hammes, Riese, Rossi","Roemer","No Chamber",5,0,1633,"Zoli","Segni",0,1,8.9667,5.6611,8.9667,5.6611,0,0,"Should the applicants be awarded damages as a result of the Commission's termination of their employment?",1960,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"34","61959CJ0044","44/59",1959-09-24,1960-12-16,"Rossi","Italy","Delvaux, Donner, Hammes, Riese, Rossi","Roemer","No Chamber",5,0,1633,"Zoli","Segni",0,1,8.9667,5.6611,8.9667,5.6611,0,0,"Should the Commissiono f the EEC pay damages to Mr RPM Fiddelaar?",1960,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"35","61959CJ0046","46/59",1959-09-28,1962-12-14,"Riese","Germany","Delvaux, Donner, Hammes, Riese, Rossi","Lagrange","No Chamber",5,0,1727,"Adenauer","Adenauer",0,0,8.5024,6.2503,8.5024,6.2503,0,0,"Should the applicant be compensated for an injury allegedly caaused by a wrongful act or omission on the part of the Community?",1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"36","61960CJ0001","1/60",1960-02-12,1960-05-10,"Catalano","Italy","Catalano, Delvaux, Donner, Riese, Rossi","Lagrange","No Chamber",5,0,1633,"Segni","Segni",0,0,8.9667,5.6611,8.9667,5.6611,0,0,"Should the Court's decision of 17 December 1959 be revised and a new trial date be set for case 23/59?",1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"37","61960CJ0002","2/60",1960-02-22,1961-07-13,"Catalano","Italy","Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff","Lagrange","Grand Chamber",7,0,1633,"Segni","Segni",0,0,8.9667,5.6611,8.9667,5.6611,0,0,"Should Articles 1, 3 and 5 of Dec No 46/59 be annulled?",1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","61960CJ0005","5/60",1960-03-30,1961-06-01,"Delvaux","Belgium","Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff","Lagrange","Grand Chamber",7,0,167,"Van Acker","Eyskens G",1,1,8.1,2.5,8.3,6.2,0.200000000000001,3.7,"Should the decision of the HA to pay the sum of Lit. 3 358 438 to the applicant be annulled?",1961,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","61960CJ0006","6/60",1960-04-01,1960-12-16,"Riese","Germany","Catalano, Donner, Hammes, Riese, Rossi","Lagrange","No Chamber",5,0,1727,"Adenauer","Adenauer",0,0,8.5024,6.2503,8.5024,6.2503,0,0,"What is the effect of the Protocol on the Privileges and Immunities of the ECSC?",1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"40","61960CJ0006","6/60",1960-04-01,1960-12-16,"Riese","Germany","Catalano, Donner, Hammes, Riese, Rossi","Lagrange","No Chamber",5,0,1727,"Adenauer","Adenauer",0,0,8.5024,6.2503,8.5024,6.2503,0,0,"Should the tax assessment at issue be annulled, declared void/of no effect and the defendant ordered to pay damages?",1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"41","61960CJ0009","9/60",1960-05-04,1961-07-14,"Catalano","Italy","Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff","Roemer","Grand Chamber",7,0,1633,"Segni","Tambroni",0,1,8.9667,5.6611,8.9667,5.6611,0,0,"Should the application for pecuniary reparation from the Community for damage claimed to have been caused by an ommission of the HA be granted?",1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"42","61960CJ0013","13/60",1960-08-06,1962-05-18,"Rueff","France","Donner, Hammes, Riese, Rossi, Rueff","Roemer","No Chamber",5,0,401,"Mendes-France","Debré",1,1,7.9361,3.9896,7.9,8.2,0.0360999999999994,4.2104,"Should Dec 16/60 of the High Authority, refusing the applicants authority to form a single marketing company, be annulled?",1962,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"43","61960CJ0014","14/60",1960-09-30,1961-07-13,"Riese","Germany","Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff","Lagrange","Grand Chamber",7,0,1727,"Adenauer","Adenauer",0,0,8.5024,6.2503,8.5024,6.2503,0,0,"Should the HA be declared liable for a wrongful act or omission in that it did no notify the applicant in good time of the amount of equalization contribution in respect of ferrous scrap?",1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","61960CJ0015","15/60",1960-10-19,1961-06-01,"Catalano","Italy","Catalano, Delvaux, Riese, Rossi, Rueff","Roemer","No Chamber",5,0,1633,"Segni","Fanfani",0,1,8.9667,5.6611,8.9667,5.6611,0,0,"Should the decision of the President fo the Court of Justice of 09/21/1960 withdrawing the separation allowance from the applicant be annulled?",1961,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"45","61960CJ0018","18/60",1961-07-01,1962-07-12,"Delvaux","Belgium","Delvaux, Donner, Riese, Rossi, Trabucchi","Lagrange","No Chamber",5,0,167,"Van Acker","Lefevre",1,1,8.1,2.5,8.3,6.2,0.200000000000001,3.7,"Should the applicant receive reparation for injury suffered by a wrongfull act or omission on the part of the Community under Art 40?",1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","61960CJ0019","19/60",1960-10-26,1961-12-15,"Hammes","Luxembourg","Delvaux, Donner, Hammes, Rossi, Rueff","Roemer","No Chamber",5,0,1234,"Bech","Werner",0,1,NA,6.4474,NA,6.4474,NA,0,"Should the contested decisions in the joined cases be annulled?",1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","61960CJ0022","22/60",1960-11-08,1961-07-13,"Rueff","France","Hammes, Rossi, Rueff","Roemer","Second Chamber",3,0,401,"Mendes-France","Debré",1,1,7.9361,3.9896,7.9,8.2,0.0360999999999994,4.2104,"Should the implied decision of refusal by the High Authority in respect of a letter from the applicant concerning his position in the service be annulled?",1961,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","61960CJ0025","25/60",1961-03-28,1962-03-01,"Rossi","Italy","Delvaux, Riese, Rossi","Lagrange","First Chamber",3,0,1633,"Zoli","Fanfani",0,1,8.9667,5.6611,8.9667,5.6611,0,0,"Is the application presented in 25/60 for compensation admissible?",1962,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"49","61960CJ0025","25/60",1961-03-28,1962-03-01,"Rossi","Italy","Delvaux, Riese, Rossi","Lagrange","First Chamber",3,0,1633,"Zoli","Fanfani",0,1,8.9667,5.6611,8.9667,5.6611,0,0,"Is the applicant entitled to the payment of the installation allowance?",1962,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"50","61960CJ0025","25/60",1961-03-28,1962-03-01,"Rossi","Italy","Delvaux, Riese, Rossi","Lagrange","First Chamber",3,0,1633,"Zoli","Fanfani",0,1,8.9667,5.6611,8.9667,5.6611,0,0,"Should the Parliament decision of 7/3/59 dismissing the plaintiff be annulled and should the plaintiff be compensated for this decision?",1962,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"51","61961CJ0007","7/61",1961-03-20,1961-12-19,"Delvaux","Belgium","Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff","Lagrange","Grand Chamber",7,0,167,"Van Acker","Eyskens G",1,1,8.1,2.5,8.3,6.2,0.200000000000001,3.7,"Has the Italian Government failed to fulfil its obligations under Art 31 of the Treaty?",1961,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"52","61961CJ0009","9/61",1961-04-06,1962-07-12,"Hammes","Luxembourg","Delvaux, Donner, Hammes, Lecourt, Riese, Rossi, Trabucchi","Roemer","Grand Chamber",7,0,1234,"Bech","Werner",0,1,NA,6.4474,NA,6.4474,NA,0,"Should Recommendation 1/61 of the High Authority relating to the publication of the scales, rates and tariff rules applied to the carriage of steel and coal be annulled?",1962,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
